hometown_city_clean,hometown_state_clean,hometown_combined,total_players,geoid,total_pop,black_pop,median_income,pct_black,players_per_thousand
Flower Mound,TX,"Flower Mound, TX",10,4826232,75050,2796,145153,3.7,0.1
Frisco,TX,"Frisco, TX",26,4827684,193140,16247,134210,8.4,0.1
Grand Prairie,TX,"Grand Prairie, TX",12,4830464,195992,45734,73352,23.3,0.1
Lancaster,TX,"Lancaster, TX",6,4841212,41057,28154,59952,68.6,0.1
League City,TX,"League City, TX",7,4841980,111847,9205,112273,8.2,0.1
Longview,TX,"Longview, TX",7,4843888,81967,18221,53854,22.2,0.1
Pearland,TX,"Pearland, TX",9,4856348,122609,23848,107941,19.5,0.1
Round Rock,TX,"Round Rock, TX",8,4863500,117735,12781,86587,10.9,0.1
Spring,TX,"Spring, TX",5,4869596,62569,12133,78122,19.4,0.1
Temple,TX,"Temple, TX",6,4872176,80793,11579,56058,14.3,0.1
Texarkana,TX,"Texarkana, TX",5,4872368,36256,14113,46643,38.9,0.1
The Woodlands,TX,"The Woodlands, TX",10,4872656,115716,4865,130011,4.2,0.1
Tyler,TX,"Tyler, TX",9,4874144,104945,26216,58385,25,0.1
Waco,TX,"Waco, TX",10,4876000,136800,28598,42687,20.9,0.1
Waxahachie,TX,"Waxahachie, TX",5,4876816,39815,5305,74789,13.3,0.1
Lehi,UT,"Lehi, UT",7,4944320,73911,435,108669,0.6,0.1
Orem,UT,"Orem, UT",5,4957300,96734,621,70412,0.6,0.1
Provo,UT,"Provo, UT",7,4962470,113538,1204,53572,1.1,0.1
Salt Lake City,UT,"Salt Lake City, UT",21,4967000,199153,5452,65880,2.7,0.1
Sandy,UT,"Sandy, UT",5,4967440,96272,832,100749,0.9,0.1
South Jordan,UT,"South Jordan, UT",8,4970850,75617,362,111774,0.5,0.1
St. George,UT,"St. George, UT",7,4965330,92875,730,63604,0.8,0.1
Huntsville,AL,"Huntsville, AL",9,0137000,210081,64932,60959,30.9,0
Lehigh Acres,FL,"Lehigh Acres, FL",5,1239925,123751,23650,52894,19.1,0
Miami Gardens,FL,"Miami Gardens, FL",5,1245060,111706,74674,51067,66.8,0
Miramar,FL,"Miramar, FL",5,1245975,134306,62936,75200,46.9,0
Port St. Lucie,FL,"Port St. Lucie, FL",5,1258715,202177,36810,68647,18.2,0
Athens,GA,"Athens, GA",6,1303440,126118,35046,43466,27.8,0
Des Moines,IA,"Des Moines, IA",8,1921000,213545,23908,58444,11.2,0
