hometown_city_clean,hometown_state_clean,hometown_combined,total_players,geoid,total_pop,black_pop,median_income,pct_black,players_per_thousand
Shreveport,LA,"Shreveport, LA",7,2270000,189374,107042,41782,56.5,0
Lincoln,NE,"Lincoln, NE",11,3128000,289136,11975,62566,4.1,0
Amarillo,TX,"Amarillo, TX",5,4803000,200371,14273,55174,7.1,0
Dallas,TX,"Dallas, TX",62,4819000,1300239,312696,58231,24,0
Fort Worth,TX,"Fort Worth, TX",29,4827000,908469,170378,67927,18.8,0
Garland,TX,"Garland, TX",7,4829000,245075,36838,65278,15,0
Houston,TX,"Houston, TX",106,4835000,2293288,517944,56019,22.6,0
Killeen,TX,"Killeen, TX",7,4839148,150082,58450,52072,38.9,0
Lubbock,TX,"Lubbock, TX",12,4845000,255537,20729,54060,8.1,0
McKinney,TX,"McKinney, TX",7,4845744,189394,22513,106437,11.9,0
Mesquite,TX,"Mesquite, TX",5,4847892,149848,35316,63706,23.6,0
Plano,TX,"Plano, TX",6,4858016,282181,24292,99729,8.6,0
San Antonio,TX,"San Antonio, TX",18,4865000,1434540,93565,55084,6.5,0
Wichita Falls,TX,"Wichita Falls, TX",5,4879000,102563,13056,50856,12.7,0
