hometown_city_clean,hometown_state_clean,total_players,geoid,total_pop,black_pop,median_income,pct_black,players_per_thousand
McRae,GA,1,1349100,6212,2289,45729,36.8,0.2
Milton,GA,10,1351670,40487,4722,136020,11.7,0.2
Morrow,GA,1,1353004,6572,2663,70075,40.5,0.2
Moultrie,GA,3,1353060,14621,6139,33929,42,0.2
Roswell,GA,18,1367284,92688,11565,111214,12.5,0.2
Sandersville,GA,1,1368208,5774,3540,37476,61.3,0.2
Thomasville,GA,3,1376224,18844,10528,44063,55.9,0.2
Tifton,GA,3,1376476,17112,5624,37319,32.9,0.2
Toccoa,GA,2,1376756,9048,1553,48039,17.2,0.2
Valdosta,GA,9,1378800,55417,31212,35188,56.3,0.2
Waycross,GA,3,1380956,13898,7963,31151,57.3,0.2
Woodstock,GA,6,1384176,33857,3329,92648,9.8,0.2
Cairo,GA,1,1312400,10095,4930,36442,48.8,0.1
Calhoun,GA,2,1312456,16920,1030,39578,6.1,0.1
Canton,GA,2,1312988,32342,4284,67355,13.2,0.1
College Park,GA,2,1317776,14032,11440,43554,81.5,0.1
Columbus,GA,11,1319000,204366,94725,50542,46.4,0.1
Douglas,GA,1,1323872,11680,5906,36436,50.6,0.1
Evans,GA,2,1328044,38452,3538,118399,9.2,0.1
Fitzgerald,GA,1,1329528,9028,4958,30268,54.9,0.1
Forest Park,GA,1,1330536,19856,10340,37370,52.1,0.1
Grovetown,GA,2,1335716,15608,3700,63860,23.7,0.1
Lilburn,GA,2,1346356,14424,1906,58900,13.2,0.1
Milledgeville,GA,2,1351492,17278,7185,36053,41.6,0.1
Monroe,GA,2,1352192,14675,7865,39015,53.6,0.1
Newnan,GA,4,1355020,41598,14166,71630,34.1,0.1
Perry,GA,2,1360340,20227,7218,62789,35.7,0.1
Rex,GA,1,30273,17522,10926,60180,62.4,0.1
Richmond Hill,GA,2,1365044,15900,2521,77878,15.9,0.1
Riverdale,GA,1,1365464,15013,12360,57920,82.3,0.1
Rome,GA,5,1366668,37509,9409,40000,25.1,0.1
Savannah,GA,21,1369000,147930,77441,49832,52.3,0.1
Smyrna,GA,3,1371492,55460,17786,83029,32.1,0.1
St. Simons,GA,1,1368040,15865,311,94663,2,0.1
Statesboro,GA,4,1373256,32400,13279,35353,41,0.1
Stockbridge,GA,3,1373704,28567,18960,61939,66.4,0.1
Thomaston,GA,1,1376168,9665,4301,28133,44.5,0.1
Tucker,GA,2,1377652,36764,12564,75377,34.2,0.1
Villa Rica,GA,2,1379528,16863,7182,76544,42.6,0.1
Warner Robins,GA,5,1380508,79589,32432,58379,40.7,0.1
Albany,GA,3,1301052,70748,52805,40036,74.6,0
Athens,GA,6,1303440,126118,35046,43466,27.8,0
Dalton,GA,1,1321380,34255,1644,49656,4.8,0
Hinesville,GA,1,1338964,34733,16310,49363,47,0
Johns Creek,GA,4,1342425,82068,8342,133948,10.2,0
Mableton,GA,2,1348288,41632,17445,69395,41.9,0
Macon,GA,4,1349008,156711,85154,43862,54.3,0
Peachtree City,GA,1,1359724,37867,2604,103374,6.9,0
Sugar Hill,GA,1,1374180,24599,3048,89583,12.4,0
