hometown_city_clean,hometown_state_clean,hometown_combined,total_players,geoid,total_pop,black_pop,median_income,pct_black,players_per_thousand
Zachary,LA,"Zachary, LA",4,2283405,19278,9652,85949,50.1,0.2
Brandon,MS,"Brandon, MS",4,2808300,24887,4897,85911,19.7,0.2
Brookhaven,MS,"Brookhaven, MS",2,2808820,11855,7050,33851,59.5,0.2
Clarksdale,MS,"Clarksdale, MS",3,2813820,15124,12283,30711,81.2,0.2
D'Iberville,MS,"D'Iberville, MS",2,2819180,12736,2497,51594,19.6,0.2
Florence,MS,"Florence, MS",1,2824980,4531,191,84186,4.2,0.2
Flowood,MS,"Flowood, MS",2,2825100,10019,2894,73654,28.9,0.2
Fulton,MS,"Fulton, MS",1,2826300,4036,655,39962,16.2,0.2
Hattiesburg,MS,"Hattiesburg, MS",9,2831020,47074,25679,38293,54.6,0.2
Madison,MS,"Madison, MS",6,2844520,27459,3865,119662,14.1,0.2
Moss Point,MS,"Moss Point, MS",2,2849240,12282,9281,43471,75.6,0.2
Ocean Springs,MS,"Ocean Springs, MS",3,2853520,18275,862,63653,4.7,0.2
Oxford,MS,"Oxford, MS",4,2854840,25859,6624,51096,25.6,0.2
Pontotoc,MS,"Pontotoc, MS",1,2859160,5621,1870,49036,33.3,0.2
Winona,MS,"Winona, MS",1,2880760,4512,2619,27091,58,0.2
Aurora,NE,"Aurora, NE",1,3102690,4642,0,65833,0,0.2
Wahoo,NE,"Wahoo, NE",1,3150965,4754,88,68092,1.9,0.2
Allen,TX,"Allen, TX",16,4801924,102778,9827,118254,9.6,0.2
Azle,TX,"Azle, TX",2,4805168,13157,227,79425,1.7,0.2
Bastrop,TX,"Bastrop, TX",2,4805864,9531,592,68591,6.2,0.2
Bellville,TX,"Bellville, TX",1,4807432,4155,162,55053,3.9,0.2
Bowie,TX,"Bowie, TX",1,4809640,5359,35,54440,0.7,0.2
Canton,TX,"Canton, TX",1,4812496,4141,149,50846,3.6,0.2
Cedar Hill,TX,"Cedar Hill, TX",8,4813492,48968,25491,77703,52.1,0.2
Cypress,TX,"Cypress, TX",21,77429,88375,8715,111290,9.9,0.2
Dickinson,TX,"Dickinson, TX",4,4820344,21336,2011,77311,9.4,0.2
Duncanville,TX,"Duncanville, TX",8,4821628,40575,12688,60666,31.3,0.2
Gilmer,TX,"Gilmer, TX",1,4829564,4802,1100,38240,22.9,0.2
Gladewater,TX,"Gladewater, TX",1,4829660,6189,900,43750,14.5,0.2
Kennedale,TX,"Kennedale, TX",2,4838896,8342,1256,102217,15.1,0.2
La Grange,TX,"La Grange, TX",1,4840276,4407,204,48527,4.6,0.2
Lavon,TX,"Lavon, TX",1,4841800,4412,420,100714,9.5,0.2
Lindale,TX,"Lindale, TX",1,4842820,6000,532,76033,8.9,0.2
Little Elm,TX,"Little Elm, TX",8,4843012,45124,9009,101693,20,0.2
Post,TX,"Post, TX",1,4859012,4571,339,47143,7.4,0.2
Rockwall,TX,"Rockwall, TX",7,4862828,46150,3547,107301,7.7,0.2
Alpine,UT,"Alpine, UT",2,4900540,10209,0,138438,0,0.2
American Fork,UT,"American Fork, UT",6,4901310,32822,58,82772,0.2,0.2
Cedar Hills,UT,"Cedar Hills, UT",2,4911440,9975,34,117984,0.3,0.2
Draper,UT,"Draper, UT",8,4920120,49978,1060,116977,2.1,0.2
Midway,UT,"Midway, UT",1,4949820,5881,0,108672,0,0.2
Nephi,UT,"Nephi, UT",1,4954220,6334,25,74113,0.4,0.2
Park City,UT,"Park City, UT",2,4958070,8352,78,121701,0.9,0.2
Woods Cross,UT,"Woods Cross, UT",2,4985370,11372,242,89441,2.1,0.2
Auburn,AL,"Auburn, AL",7,0103076,74637,13288,54700,17.8,0.1
Calera,AL,"Calera, AL",2,0111416,16126,4580,70504,28.4,0.1
Chelsea,AL,"Chelsea, AL",1,0114104,14710,954,93658,6.5,0.1
Cullman,AL,"Cullman, AL",2,0118976,17892,201,54669,1.1,0.1
Daphne,AL,"Daphne, AL",3,0119648,27088,4105,74701,15.2,0.1
Demopolis,AL,"Demopolis, AL",1,0120296,7134,3273,40968,45.9,0.1
Enterprise,AL,"Enterprise, AL",4,0124184,28242,6284,63859,22.3,0.1
Fairfield,AL,"Fairfield, AL",1,0125120,10108,9317,43914,92.2,0.1
Florence,AL,"Florence, AL",4,0126896,39709,7627,40944,19.2,0.1
Fort Payne,AL,"Fort Payne, AL",1,0127616,14730,427,44330,2.9,0.1
Gadsden,AL,"Gadsden, AL",3,0128696,34317,12765,35776,37.2,0.1
Gardendale,AL,"Gardendale, AL",2,0129056,15920,1809,74608,11.4,0.1
Gulf Shores,AL,"Gulf Shores, AL",1,0132272,14712,67,53048,0.5,0.1
Hoover,AL,"Hoover, AL",11,0135896,91371,17562,95970,19.2,0.1
Hueytown,AL,"Hueytown, AL",1,0136448,16694,6970,58151,41.8,0.1
Leeds,AL,"Leeds, AL",1,0141968,12385,1645,62432,13.3,0.1
Madison,AL,"Madison, AL",4,0145784,55551,7769,105335,14,0.1
Mobile,AL,"Mobile, AL",19,0150000,187445,98468,44780,52.5,0.1
Montgomery,AL,"Montgomery, AL",22,0151000,201022,123840,49989,61.6,0.1
Moody,AL,"Moody, AL",1,0151096,13100,1048,69846,8,0.1
Muscle Shoals,AL,"Muscle Shoals, AL",1,0153016,15969,1886,61772,11.8,0.1
Orange Beach,AL,"Orange Beach, AL",1,0157144,7847,0,84838,0,0.1
Oxford,AL,"Oxford, AL",2,0157576,22210,3713,62226,16.7,0.1
Prattville,AL,"Prattville, AL",3,0162328,37977,7929,65932,20.9,0.1
Russellville,AL,"Russellville, AL",1,0167056,10691,987,43829,9.2,0.1
Selma,AL,"Selma, AL",2,0169120,18429,15509,29656,84.2,0.1
Spanish Fort,AL,"Spanish Fort, AL",1,0171976,9720,759,89504,7.8,0.1
Tuscaloosa,AL,"Tuscaloosa, AL",10,0177256,99252,43703,44880,44,0.1
Tuskegee,AL,"Tuskegee, AL",1,0177304,9125,8513,32024,93.3,0.1
Belle Glade,FL,"Belle Glade, FL",2,1205200,16983,10227,32963,60.2,0.1
Bradenton,FL,"Bradenton, FL",6,1207950,54918,8109,50084,14.8,0.1
Cocoa Beach,FL,"Cocoa Beach, FL",1,1213175,11316,104,73901,0.9,0.1
Daytona Beach,FL,"Daytona Beach, FL",4,1216525,71041,23559,42392,33.2,0.1
DeLand,FL,"DeLand, FL",3,1216875,36528,5477,59641,15,0.1
East Lake,FL,"East Lake, FL",2,1219206,32714,902,86344,2.8,0.1
Florida City,FL,"Florida City, FL",1,1222975,12844,6630,43599,51.6,0.1
Fort Myers,FL,"Fort Myers, FL",10,1224125,84694,19621,51682,23.2,0.1
Fort Walton Beach,FL,"Fort Walton Beach, FL",2,1224475,20805,2305,55623,11.1,0.1
Gainesville,FL,"Gainesville, FL",10,1225175,138741,29581,40937,21.3,0.1
Hollywood,FL,"Hollywood, FL",10,1232000,152597,27782,56912,18.2,0.1
Jacksonville,FL,"Jacksonville, FL",50,1235000,937690,287957,58263,30.7,0.1
Key Biscayne,FL,"Key Biscayne, FL",1,1236300,14530,48,167990,0.3,0.1
Key West,FL,"Key West, FL",2,1236550,26776,3621,75638,13.5,0.1
Kissimmee,FL,"Kissimmee, FL",10,1236950,77189,7518,41746,9.7,0.1
Lakeland,FL,"Lakeland, FL",15,1238250,110401,21980,52972,19.9,0.1
Lauderdale Lakes,FL,"Lauderdale Lakes, FL",2,1239525,35898,29960,40217,83.5,0.1
Lauderhill,FL,"Lauderhill, FL",4,1239550,73935,59549,44634,80.5,0.1
Lithia,FL,"Lithia, FL",3,33547,29236,2162,107883,7.4,0.1
Maitland,FL,"Maitland, FL",1,1242575,19154,2894,84289,15.1,0.1
Melbourne,FL,"Melbourne, FL",10,1243975,83500,8113,55543,9.7,0.1
Mims,FL,"Mims, FL",1,1245775,7702,567,51425,7.4,0.1
Minneola,FL,"Minneola, FL",2,1245900,13709,1175,85536,8.6,0.1
Mount Dora,FL,"Mount Dora, FL",2,1247050,15830,2404,60500,15.2,0.1
Neptune Beach,FL,"Neptune Beach, FL",1,1248100,6880,0,98856,0,0.1
Ocala,FL,"Ocala, FL",4,1250750,62351,12605,46841,20.2,0.1
Ocoee,FL,"Ocoee, FL",5,1251075,46562,10202,83690,21.9,0.1
Odessa,FL,"Odessa, FL",1,1251100,7682,428,96444,5.6,0.1
Opa-locka,FL,"Opa-locka, FL",1,1251650,16310,9383,27734,57.5,0.1
Orlando,FL,"Orlando, FL",39,1253000,302968,71207,58968,23.5,0.1
Oviedo,FL,"Oviedo, FL",3,1253575,39405,1928,103882,4.9,0.1
Pace,FL,"Pace, FL",2,1253725,23527,912,67500,3.9,0.1
Palm Beach Gardens,FL,"Palm Beach Gardens, FL",3,1254075,58482,2745,99734,4.7,0.1
Pinecrest,FL,"Pinecrest, FL",1,1256625,18405,455,166801,2.5,0.1
Plant City,FL,"Plant City, FL",4,1257550,39272,5011,57025,12.8,0.1
Plantation,FL,"Plantation, FL",9,1257425,92212,21206,79893,23,0.1
Pompano Beach,FL,"Pompano Beach, FL",7,1258050,111423,33402,56109,30,0.1
Ponte Vedra Beach,FL,"Ponte Vedra Beach, FL",3,32082,28721,719,114291,2.5,0.1
Punta Gorda,FL,"Punta Gorda, FL",1,1259200,19230,497,68923,2.6,0.1
Richmond Heights,FL,"Richmond Heights, FL",1,1260225,10256,5270,54336,51.4,0.1
Riviera Beach,FL,"Riviera Beach, FL",3,1260975,37301,24466,51118,65.6,0.1
Rockledge,FL,"Rockledge, FL",4,1261500,27466,3645,73327,13.3,0.1
Sanford,FL,"Sanford, FL",8,1263650,60215,16974,55428,28.2,0.1
Santa Rosa Beach,FL,"Santa Rosa Beach, FL",1,32459,18544,35,94648,0.2,0.1
Seminole,FL,"Seminole, FL",1,1264975,19224,632,63352,3.3,0.1
St. Petersburg,FL,"St. Petersburg, FL",17,1263000,258245,54181,64375,21,0.1
Stuart,FL,"Stuart, FL",2,1268875,17269,2578,55157,14.9,0.1
Sunrise,FL,"Sunrise, FL",5,1269700,96220,33561,61830,34.9,0.1
Tallahassee,FL,"Tallahassee, FL",23,1270600,195057,70614,49077,36.2,0.1
Tampa,FL,"Tampa, FL",54,1271000,380476,85287,59893,22.4,0.1
Titusville,FL,"Titusville, FL",3,1271900,48158,6094,50383,12.7,0.1
Venice,FL,"Venice, FL",3,1273900,24876,149,65478,0.6,0.1
Vero Beach,FL,"Vero Beach, FL",2,1274150,16254,889,54311,5.5,0.1
West Palm Beach,FL,"West Palm Beach, FL",10,1276600,115877,39209,56549,33.8,0.1
Weston,FL,"Weston, FL",4,1276582,68148,2702,122929,4,0.1
Yulee,FL,"Yulee, FL",1,1279175,14217,1010,72944,7.1,0.1
Zephyrhills,FL,"Zephyrhills, FL",2,1279225,16845,877,42023,5.2,0.1
Cairo,GA,"Cairo, GA",1,1312400,10095,4930,36442,48.8,0.1
Calhoun,GA,"Calhoun, GA",2,1312456,16920,1030,39578,6.1,0.1
Canton,GA,"Canton, GA",2,1312988,32342,4284,67355,13.2,0.1
College Park,GA,"College Park, GA",2,1317776,14032,11440,43554,81.5,0.1
Columbus,GA,"Columbus, GA",11,1319000,204366,94725,50542,46.4,0.1
Douglas,GA,"Douglas, GA",1,1323872,11680,5906,36436,50.6,0.1
Evans,GA,"Evans, GA",2,1328044,38452,3538,118399,9.2,0.1
Fitzgerald,GA,"Fitzgerald, GA",1,1329528,9028,4958,30268,54.9,0.1
Forest Park,GA,"Forest Park, GA",1,1330536,19856,10340,37370,52.1,0.1
Grovetown,GA,"Grovetown, GA",2,1335716,15608,3700,63860,23.7,0.1
Lilburn,GA,"Lilburn, GA",2,1346356,14424,1906,58900,13.2,0.1
Milledgeville,GA,"Milledgeville, GA",2,1351492,17278,7185,36053,41.6,0.1
Monroe,GA,"Monroe, GA",2,1352192,14675,7865,39015,53.6,0.1
Newnan,GA,"Newnan, GA",4,1355020,41598,14166,71630,34.1,0.1
Perry,GA,"Perry, GA",2,1360340,20227,7218,62789,35.7,0.1
Rex,GA,"Rex, GA",1,30273,17522,10926,60180,62.4,0.1
Richmond Hill,GA,"Richmond Hill, GA",2,1365044,15900,2521,77878,15.9,0.1
Riverdale,GA,"Riverdale, GA",1,1365464,15013,12360,57920,82.3,0.1
Rome,GA,"Rome, GA",5,1366668,37509,9409,40000,25.1,0.1
Savannah,GA,"Savannah, GA",21,1369000,147930,77441,49832,52.3,0.1
Smyrna,GA,"Smyrna, GA",3,1371492,55460,17786,83029,32.1,0.1
St. Simons,GA,"St. Simons, GA",1,1368040,15865,311,94663,2,0.1
Statesboro,GA,"Statesboro, GA",4,1373256,32400,13279,35353,41,0.1
Stockbridge,GA,"Stockbridge, GA",3,1373704,28567,18960,61939,66.4,0.1
Thomaston,GA,"Thomaston, GA",1,1376168,9665,4301,28133,44.5,0.1
Tucker,GA,"Tucker, GA",2,1377652,36764,12564,75377,34.2,0.1
Villa Rica,GA,"Villa Rica, GA",2,1379528,16863,7182,76544,42.6,0.1
Warner Robins,GA,"Warner Robins, GA",5,1380508,79589,32432,58379,40.7,0.1
Alexandria,LA,"Alexandria, LA",4,2200975,45736,25274,43760,55.3,0.1
Baton Rouge,LA,"Baton Rouge, LA",23,2205000,225539,120257,46282,53.3,0.1
Breaux Bridge,LA,"Breaux Bridge, LA",1,2209340,7711,3110,44155,40.3,0.1
Carencro,LA,"Carencro, LA",1,2212665,9531,4733,52478,49.7,0.1
Covington,LA,"Covington, LA",1,2218125,11155,1641,70511,14.7,0.1
Crowley,LA,"Crowley, LA",1,2218650,11916,3482,28775,29.2,0.1
DeRidder,LA,"DeRidder, LA",1,2220610,10060,3649,50889,36.3,0.1
Destrehan,LA,"Destrehan, LA",1,2220820,11827,1610,97388,13.6,0.1
Donaldsonville,LA,"Donaldsonville, LA",1,2221240,6834,5619,20052,82.2,0.1
Geismar,LA,"Geismar, LA",1,70734,9795,1834,112320,18.7,0.1
Gretna,LA,"Gretna, LA",1,2231915,17836,5633,44688,31.6,0.1
Harvey,LA,"Harvey, LA",2,2233245,20942,10168,42133,48.6,0.1
Houma,LA,"Houma, LA",4,2236255,33461,7277,48688,21.7,0.1
Lafayette,LA,"Lafayette, LA",11,2240735,122469,36659,55329,29.9,0.1
Lake Charles,LA,"Lake Charles, LA",5,2241155,83444,38576,49913,46.2,0.1
Laplace,LA,"Laplace, LA",2,2242030,29129,15691,65459,53.9,0.1
Marrero,LA,"Marrero, LA",4,2248785,31928,15629,43677,49,0.1
New Iberia,LA,"New Iberia, LA",3,2254035,28844,12584,43734,43.6,0.1
New Orleans,LA,"New Orleans, LA",39,2255000,383974,223246,45594,58.1,0.1
Opelousas,LA,"Opelousas, LA",1,2258045,15884,12084,33272,76.1,0.1
Raceland,LA,"Raceland, LA",1,2263155,11002,3260,41494,29.6,0.1
St. Amant,LA,"St. Amant, LA",1,70774,10442,275,73063,2.6,0.1
St. Gabriel,LA,"St. Gabriel, LA",1,2267250,7046,4231,53045,60,0.1
St. Rose,LA,"St. Rose, LA",1,2267740,7764,3766,55510,48.5,0.1
Thibodaux,LA,"Thibodaux, LA",1,2275425,15242,4778,46658,31.3,0.1
Vacherie,LA,"Vacherie, LA",1,70090,7380,3797,51448,51.4,0.1
Woodmere,LA,"Woodmere, LA",1,2283002,11343,9229,59232,81.4,0.1
Youngsville,LA,"Youngsville, LA",1,2283335,15167,1866,101455,12.3,0.1
Columbus,MS,"Columbus, MS",3,2815380,23858,14647,34488,61.4,0.1
Greenville,MS,"Greenville, MS",3,2829180,30175,24854,32066,82.4,0.1
Greenwood,MS,"Greenwood, MS",1,2829340,14521,10451,28221,72,0.1
Horn Lake,MS,"Horn Lake, MS",2,2833700,26623,11998,54783,45.1,0.1
Jackson,MS,"Jackson, MS",9,2836000,156803,129863,39969,82.8,0.1
Kosciusko,MS,"Kosciusko, MS",1,2838320,7128,3941,27490,55.3,0.1
Laurel,MS,"Laurel, MS",1,2839640,17375,11426,33149,65.8,0.1
Meridian,MS,"Meridian, MS",4,2846640,35625,23369,31198,65.6,0.1
Nesbit,MS,"Nesbit, MS",1,38651,8906,1724,105958,19.4,0.1
Olive Branch,MS,"Olive Branch, MS",2,2854040,39136,12633,81860,32.3,0.1
Picayune,MS,"Picayune, MS",1,2857160,11777,4445,33192,37.7,0.1
Starkville,MS,"Starkville, MS",3,2870240,24578,7971,34391,32.4,0.1
Tupelo,MS,"Tupelo, MS",5,2874840,37872,13948,58887,36.8,0.1
Vicksburg,MS,"Vicksburg, MS",3,2876720,21748,14969,37995,68.8,0.1
Yazoo City,MS,"Yazoo City, MS",1,2881520,10887,7895,30092,72.5,0.1
Columbus,NE,"Columbus, NE",3,3110110,23954,137,60586,0.6,0.1
Fremont,NE,"Fremont, NE",2,3117670,27245,257,57551,0.9,0.1
La Vista,NE,"La Vista, NE",1,3126385,16786,775,70310,4.6,0.1
Norfolk,NE,"Norfolk, NE",2,3134615,24964,423,52021,1.7,0.1
Omaha,NE,"Omaha, NE",37,3137000,488059,58430,65359,12,0.1
Scottsbluff,NE,"Scottsbluff, NE",1,3144245,14511,132,50788,0.9,0.1
Seward,NE,"Seward, NE",1,3144420,7651,44,68348,0.6,0.1
York,NE,"York, NE",1,3154045,8091,76,61230,0.9,0.1
Addison,TX,"Addison, TX",1,4801240,16405,2682,74012,16.3,0.1
Arlington,TX,"Arlington, TX",34,4804000,392304,89682,65481,22.9,0.1
Athens,TX,"Athens, TX",1,4804504,12719,2369,45625,18.6,0.1
Austin,TX,"Austin, TX",57,4805000,944658,72829,78965,7.7,0.1
Bay City,TX,"Bay City, TX",1,4805984,17918,2460,46171,13.7,0.1
Bellaire,TX,"Bellaire, TX",2,4807300,17262,461,211202,2.7,0.1
Brenham,TX,"Brenham, TX",2,4810156,17385,3940,54536,22.7,0.1
Brownwood,TX,"Brownwood, TX",1,4810780,18865,978,42971,5.2,0.1
Bryan,TX,"Bryan, TX",5,4810912,85204,15381,49181,18.1,0.1
College Station,TX,"College Station, TX",9,4815976,116276,9340,50089,8,0.1
Converse,TX,"Converse, TX",2,4816468,27361,6380,77411,23.3,0.1
Coppell,TX,"Coppell, TX",4,4816612,42420,2169,130805,5.1,0.1
Crowley,TX,"Crowley, TX",2,4817960,17977,3963,81167,22,0.1
Cuero,TX,"Cuero, TX",1,4818092,8200,1212,48247,14.8,0.1
Denton,TX,"Denton, TX",15,4819972,139704,16065,65168,11.5,0.1
El Campo,TX,"El Campo, TX",1,4822864,12280,1119,53006,9.1,0.1
Ennis,TX,"Ennis, TX",1,4824348,19942,2265,61471,11.4,0.1
Fair Oaks Ranch,TX,"Fair Oaks Ranch, TX",1,4825168,9951,44,127917,0.4,0.1
Flower Mound,TX,"Flower Mound, TX",10,4826232,75050,2796,145153,3.7,0.1
Freeport,TX,"Freeport, TX",1,4827420,10864,1861,46071,17.1,0.1
Friendswood,TX,"Friendswood, TX",3,4827648,40780,1375,114516,3.4,0.1
Frisco,TX,"Frisco, TX",26,4827684,193140,16247,134210,8.4,0.1
Fulshear,TX,"Fulshear, TX",2,4827876,17259,464,170236,2.7,0.1
Glenn Heights,TX,"Glenn Heights, TX",1,4829840,15741,7789,81202,49.5,0.1
Grand Prairie,TX,"Grand Prairie, TX",12,4830464,195992,45734,73352,23.3,0.1
Grapevine,TX,"Grapevine, TX",3,4830644,50548,3260,99667,6.4,0.1
Groves,TX,"Groves, TX",1,4831328,17078,1248,60880,7.3,0.1
Harker Heights,TX,"Harker Heights, TX",3,4832312,32320,9206,73775,28.5,0.1
Heartland,TX,"Heartland, TX",1,4832978,7114,2288,74890,32.2,0.1
Helotes,TX,"Helotes, TX",1,4833146,8937,191,115236,2.1,0.1
Henderson,TX,"Henderson, TX",2,4833212,13498,3090,58277,22.9,0.1
Highland Park,TX,"Highland Park, TX",1,4833824,8895,25,234427,0.3,0.1
Highland Village,TX,"Highland Village, TX",1,4833848,15769,592,151951,3.8,0.1
Keller,TX,"Keller, TX",4,4838632,45190,1066,149822,2.4,0.1
La Feria,TX,"La Feria, TX",1,4840204,6894,15,35722,0.2,0.1
La Marque,TX,"La Marque, TX",1,4841116,18065,5466,60042,30.3,0.1
La Porte,TX,"La Porte, TX",2,4841440,35566,3145,78665,8.8,0.1
Lancaster,TX,"Lancaster, TX",6,4841212,41057,28154,59952,68.6,0.1
League City,TX,"League City, TX",7,4841980,111847,9205,112273,8.2,0.1
Longview,TX,"Longview, TX",7,4843888,81967,18221,53854,22.2,0.1
Lufkin,TX,"Lufkin, TX",3,4845072,34264,8033,49601,23.4,0.1
Marshall,TX,"Marshall, TX",3,4846776,22862,8652,45500,37.8,0.1
Melissa,TX,"Melissa, TX",1,4847496,13671,1373,127391,10,0.1
Midlothian,TX,"Midlothian, TX",3,4848096,33914,3009,107532,8.9,0.1
Mount Pleasant,TX,"Mount Pleasant, TX",1,4849800,16067,2187,47599,13.6,0.1
Navasota,TX,"Navasota, TX",1,4850472,7614,2223,43409,29.2,0.1
Palestine,TX,"Palestine, TX",1,4854708,18532,5645,41730,30.5,0.1
Paris,TX,"Paris, TX",2,4855080,24447,5982,36415,24.5,0.1
Pearland,TX,"Pearland, TX",9,4856348,122609,23848,107941,19.5,0.1
Port Neches,TX,"Port Neches, TX",2,4858940,13534,191,78467,1.4,0.1
Prosper,TX,"Prosper, TX",3,4859696,28825,2934,159164,10.2,0.1
Providence Village,TX,"Providence Village, TX",1,4859748,7359,827,100134,11.2,0.1
Round Rock,TX,"Round Rock, TX",8,4863500,117735,12781,86587,10.9,0.1
Royse City,TX,"Royse City, TX",2,4863668,13512,1095,99726,8.1,0.1
Sachse,TX,"Sachse, TX",2,4864064,26797,3165,114593,11.8,0.1
Spring,TX,"Spring, TX",5,4869596,62569,12133,78122,19.4,0.1
Stafford,TX,"Stafford, TX",1,4869908,17170,4451,77718,25.9,0.1
Sunnyvale,TX,"Sunnyvale, TX",1,4871156,7647,880,137656,11.5,0.1
Temple,TX,"Temple, TX",6,4872176,80793,11579,56058,14.3,0.1
Terrell,TX,"Terrell, TX",1,4872284,17083,3997,57904,23.4,0.1
Texarkana,TX,"Texarkana, TX",5,4872368,36256,14113,46643,38.9,0.1
The Woodlands,TX,"The Woodlands, TX",10,4872656,115716,4865,130011,4.2,0.1
Trophy Club,TX,"Trophy Club, TX",1,4873710,12659,69,170679,0.5,0.1
Tyler,TX,"Tyler, TX",9,4874144,104945,26216,58385,25,0.1
Waco,TX,"Waco, TX",10,4876000,136800,28598,42687,20.9,0.1
Waxahachie,TX,"Waxahachie, TX",5,4876816,39815,5305,74789,13.3,0.1
Webster,TX,"Webster, TX",1,4876948,12280,1974,56586,16.1,0.1
Whitehouse,TX,"Whitehouse, TX",1,4878388,8316,370,87650,4.4,0.1
Bountiful,UT,"Bountiful, UT",4,4907690,45496,148,89365,0.3,0.1
Cottonwood Heights,UT,"Cottonwood Heights, UT",4,4916270,33597,126,99645,0.4,0.1
Heber City,UT,"Heber City, UT",1,4934200,16416,113,86365,0.7,0.1
Holladay,UT,"Holladay, UT",2,4936070,31738,451,97911,1.4,0.1
Kaysville,UT,"Kaysville, UT",2,4940360,32438,169,110700,0.5,0.1
Lehi,UT,"Lehi, UT",7,4944320,73911,435,108669,0.6,0.1
North Ogden,UT,"North Ogden, UT",2,4955100,20703,55,93490,0.3,0.1
Orem,UT,"Orem, UT",5,4957300,96734,621,70412,0.6,0.1
Pleasant Grove,UT,"Pleasant Grove, UT",2,4960930,37228,144,81850,0.4,0.1
Providence,UT,"Providence, UT",1,4962360,8199,7,89167,0.1,0.1
Provo,UT,"Provo, UT",7,4962470,113538,1204,53572,1.1,0.1
Richfield,UT,"Richfield, UT",1,4963570,8086,103,53836,1.3,0.1
Salem,UT,"Salem, UT",1,4965770,9097,44,92250,0.5,0.1
Salt Lake City,UT,"Salt Lake City, UT",21,4967000,199153,5452,65880,2.7,0.1
Sandy,UT,"Sandy, UT",5,4967440,96272,832,100749,0.9,0.1
Santa Clara,UT,"Santa Clara, UT",1,4967660,7418,48,84128,0.6,0.1
Saratoga Springs,UT,"Saratoga Springs, UT",2,4967825,36977,132,106844,0.4,0.1
Smithfield,UT,"Smithfield, UT",1,4969640,13263,0,79321,0,0.1
South Jordan,UT,"South Jordan, UT",8,4970850,75617,362,111774,0.5,0.1
Spanish Fork,UT,"Spanish Fork, UT",3,4971290,41953,190,84903,0.5,0.1
St. George,UT,"St. George, UT",7,4965330,92875,730,63604,0.8,0.1
Decatur,AL,"Decatur, AL",1,0120104,57303,13253,52539,23.1,0
Dothan,AL,"Dothan, AL",2,0121184,70318,24272,49203,34.5,0
Fairhope,AL,"Fairhope, AL",1,0125240,21825,1113,83258,5.1,0
Foley,AL,"Foley, AL",1,0126992,20170,1625,53817,8.1,0
Helena,AL,"Helena, AL",1,0134024,20680,3546,96173,17.1,0
Homewood,AL,"Homewood, AL",1,0135800,26206,3306,89433,12.6,0
Huntsville,AL,"Huntsville, AL",9,0137000,210081,64932,60959,30.9,0
Northport,AL,"Northport, AL",1,0155200,30334,7745,69921,25.5,0
Pelham,AL,"Pelham, AL",1,0158848,24134,2963,81606,12.3,0
Boca Raton,FL,"Boca Raton, FL",4,1207300,95347,6403,89776,6.7,0
Bonita Springs,FL,"Bonita Springs, FL",1,1207525,53017,1084,78347,2,0
Boynton Beach,FL,"Boynton Beach, FL",3,1207875,79479,26768,60980,33.7,0
Cape Coral,FL,"Cape Coral, FL",1,1210275,193003,8238,65282,4.3,0
Clearwater,FL,"Clearwater, FL",1,1212875,116616,14374,54182,12.3,0
Clermont,FL,"Clermont, FL",2,1212925,41562,6046,69930,14.5,0
Coconut Creek,FL,"Coconut Creek, FL",2,1213275,57553,9222,68024,16,0
Cooper City,FL,"Cooper City, FL",1,1214125,33867,2232,113147,6.6,0
Coral Springs,FL,"Coral Springs, FL",2,1214400,133693,30235,81944,22.6,0
Dania Beach,FL,"Dania Beach, FL",1,1216335,31703,6883,44477,21.7,0
Davie,FL,"Davie, FL",3,1216475,104782,8504,77453,8.1,0
Deerfield Beach,FL,"Deerfield Beach, FL",3,1216725,86062,22723,49650,26.4,0
Delray Beach,FL,"Delray Beach, FL",3,1217100,66434,18301,69804,27.5,0
Estero,FL,"Estero, FL",1,1221150,36187,561,94095,1.6,0
Eustis,FL,"Eustis, FL",1,1221350,22532,5351,55298,23.7,0
Haines City,FL,"Haines City, FL",1,1228400,26510,7811,50280,29.5,0
Hialeah,FL,"Hialeah, FL",1,1230000,224362,3646,43181,1.6,0
Homestead,FL,"Homestead, FL",2,1232275,78885,16790,52334,21.3,0
Lake Worth Beach,FL,"Lake Worth Beach, FL",2,1239081,41608,6946,51134,16.7,0
Land O' Lakes,FL,"Land O' Lakes, FL",1,1239200,38674,2201,84146,5.7,0
Leesburg,FL,"Leesburg, FL",1,1239875,26242,6127,37350,23.3,0
Lehigh Acres,FL,"Lehigh Acres, FL",5,1239925,123751,23650,52894,19.1,0
Margate,FL,"Margate, FL",1,1243125,58331,19215,52881,32.9,0
Merritt Island,FL,"Merritt Island, FL",1,1244275,34013,935,78022,2.7,0
Miami Gardens,FL,"Miami Gardens, FL",5,1245060,111706,74674,51067,66.8,0
Miramar,FL,"Miramar, FL",5,1245975,134306,62936,75200,46.9,0
Navarre,FL,"Navarre, FL",1,1248050,38994,2457,90139,6.3,0
Oak Ridge,FL,"Oak Ridge, FL",1,1250638,25973,10819,44544,41.7,0
Ormond Beach,FL,"Ormond Beach, FL",1,1253150,42707,2276,60229,5.3,0
Palm Bay,FL,"Palm Bay, FL",2,1254000,118709,21963,55963,18.5,0
Palm Coast,FL,"Palm Coast, FL",1,1254200,88313,10068,61847,11.4,0
Palm Harbor,FL,"Palm Harbor, FL",2,1254350,60682,1251,64222,2.1,0
