hometown_city_clean,hometown_state_clean,hometown_combined,total_players,geoid,total_pop,black_pop,median_income,pct_black,players_per_thousand
Bradley Junction,FL,"Bradley Junction, FL",1,1208125,784,293,38621,37.4,1.3
Hawthorne,FL,"Hawthorne, FL",2,1229275,1495,945,46667,63.2,1.3
Oak Grove,LA,"Oak Grove, LA",2,2256820,1593,603,26953,37.9,1.3
Haslet,TX,"Haslet, TX",3,4832720,2296,12,156250,0.5,1.3
Magnolia,TX,"Magnolia, TX",3,4846056,2303,316,63661,13.7,1.3
Blairsville,GA,"Blairsville, GA",1,1308480,825,101,28542,12.2,1.2
Danielsville,GA,"Danielsville, GA",1,1321632,836,1,56923,0.1,1.2
Loreauville,LA,"Loreauville, LA",1,2245670,854,371,28750,43.4,1.2
Montgomery,TX,"Montgomery, TX",2,4849128,1617,44,92583,2.7,1.2
Bethlehem,GA,"Bethlehem, GA",1,1307612,891,44,60076,4.9,1.1
Hoschton,GA,"Hoschton, GA",3,1340056,2684,183,80152,6.8,1.1
White,GA,"White, GA",1,1382468,904,0,60750,0,1.1
Cullen,LA,"Cullen, LA",1,2218790,877,811,17384,92.5,1.1
Ackerman,MS,"Ackerman, MS",2,2800300,1766,859,33581,48.6,1.1
Benkelman,NE,"Benkelman, NE",1,3104230,938,0,43182,0,1.1
Wabasso,FL,"Wabasso, FL",1,1274625,1016,501,44730,49.3,1
Riceboro,GA,"Riceboro, GA",1,1364960,977,879,40911,90,1
Rochelle,GA,"Rochelle, GA",1,1366024,1010,530,30321,52.5,1
Suwanee,GA,"Suwanee, GA",20,1374936,20629,3295,99022,16,1
Watkinsville,GA,"Watkinsville, GA",3,1380788,2888,106,71667,3.7,1
Watson,LA,"Watson, LA",1,2280010,965,0,98073,0,1
Lucedale,MS,"Lucedale, MS",3,2842440,2910,908,26813,31.2,1
Raleigh,MS,"Raleigh, MS",1,2860840,961,375,21837,39,1
Taylorsville,MS,"Taylorsville, MS",2,2872400,1917,833,38116,43.5,1
Bogata,TX,"Bogata, TX",1,4809172,1046,4,27868,0.4,1
Grandview,TX,"Grandview, TX",2,4830512,1975,6,63906,0.3,1
Newton,TX,"Newton, TX",2,4851372,2042,428,37115,21,1
Ohatchee,AL,"Ohatchee, AL",1,0156472,1161,43,59844,3.7,0.9
Pahokee,FL,"Pahokee, FL",5,1253800,5504,3185,30753,57.9,0.9
Blue Ridge,GA,"Blue Ridge, GA",1,1308928,1167,26,29922,2.2,0.9
Franklin,GA,"Franklin, GA",1,1331292,1056,282,21518,26.7,0.9
Grayson,GA,"Grayson, GA",4,1334596,4478,3172,113652,70.8,0.9
Norman Park,GA,"Norman Park, GA",1,1355860,1109,375,48214,33.8,0.9
Boutte,LA,"Boutte, LA",2,2209130,2253,1424,73632,63.2,0.9
Edwards,MS,"Edwards, MS",1,2821580,1060,1007,28688,95,0.9
Tylertown,MS,"Tylertown, MS",2,2875160,2107,856,22050,40.6,0.9
Dripping Springs,TX,"Dripping Springs, TX",4,4821424,4699,35,111429,0.7,0.9
Newark,TX,"Newark, TX",1,4850772,1100,0,45313,0,0.9
Killen,AL,"Killen, AL",1,0139784,1209,50,54261,4.1,0.8
Watson,AL,"Watson, AL",1,0109736,1252,413,62321,33,0.8
Greenville,FL,"Greenville, FL",1,1227575,1206,1068,39125,88.6,0.8
Stone Mountain,GA,"Stone Mountain, GA",5,1373816,6622,5724,44716,86.4,0.8
Louisville,MS,"Louisville, MS",5,2842280,6108,3953,34654,64.7,0.8
Big Sandy,TX,"Big Sandy, TX",1,4808224,1314,132,40139,10,0.8
Granger,TX,"Granger, TX",1,4830548,1229,123,49205,10,0.8
