geoid,hometown_city_clean,hometown_state_clean,hometown_combined,total_players,total_pop,black_pop,pct_black,median_income,players_per_thousand,players_per_capita
0662938,Roseville,CA,"Roseville, CA",4,148879,3007,2,112265,0,37220
4513330,Charleston,SC,"Charleston, SC",4,149960,27305,18.2,83891,0,37490
5305210,Bellevue,WA,"Bellevue, WA",4,150606,3956,2.6,149551,0,37652
2646000,Lansing,MI,"Lansing, MI",3,112986,26796,23.7,50747,0,37662
0619766,Downey,CA,"Downey, CA",3,113052,4285,3.8,84236,0,37684
1759000,Peoria,IL,"Peoria, IL",3,113054,29886,26.4,58068,0,37685
4853388,Odessa,TX,"Odessa, TX",3,113353,7549,6.7,71293,0,37784
1772000,Springfield,IL,"Springfield, IL",3,114214,23151,20.3,62419,0,38071
0660620,Richmond,CA,"Richmond, CA",3,115619,21156,18.3,86618,0,38540
0446000,Mesa,AZ,"Mesa, AZ",13,503390,23375,4.6,73766,0,38722
2743000,Minneapolis,MN,"Minneapolis, MN",11,426877,79138,18.5,76332,0,38807
0669000,Santa Ana,CA,"Santa Ana, CA",8,311379,3350,1.1,84210,0,38922
1349008,Macon,GA,"Macon, GA",4,156554,85028,54.3,48897,0,39138
3457000,Paterson,NJ,"Paterson, NJ",4,157864,38481,24.4,52092,0,39466
2079000,Wichita,KS,"Wichita, KS",10,395951,39231,9.9,60712,0,39595
0623182,Fairfield,CA,"Fairfield, CA",3,119420,18273,15.3,98857,0,39807
1652120,Meridian,ID,"Meridian, ID",3,119872,1809,1.5,93296,0,39957
4055000,Oklahoma City,OK,"Oklahoma City, OK",17,681088,93143,13.7,64251,0,40064
4803000,Amarillo,TX,"Amarillo, TX",5,200360,14308,7.1,60628,0,40072
0633000,Hayward,CA,"Hayward, CA",4,160602,14482,9,105371,0,40150
0654652,Oxnard,CA,"Oxnard, CA",5,202279,3967,2,90409,0,40456
0606000,Berkeley,CA,"Berkeley, CA",3,121385,9428,7.8,104716,0,40462
0616000,Concord,CA,"Concord, CA",3,125007,4695,3.8,107789,0,41669
1258715,Port St. Lucie,FL,"Port St. Lucie, FL",5,210520,38528,18.3,75040,0,42104
4801000,Abilene,TX,"Abilene, TX",3,126356,13160,10.4,59254,0,42119
0827425,Fort Collins,CO,"Fort Collins, CO",4,168758,2308,1.4,78977,0,42190
0804000,Aurora,CO,"Aurora, CO",9,387349,64408,16.6,78685,0,43039
0664000,Sacramento,CA,"Sacramento, CA",12,523600,65978,12.6,78954,0,43633
0653000,Oakland,CA,"Oakland, CA",10,437825,95412,21.8,94389,0,43782
0662000,Riverside,CA,"Riverside, CA",7,316076,18264,5.8,83448,0,45154
0952000,New Haven,CT,"New Haven, CT",3,135736,40592,29.9,54305,0,45245
0473000,Tempe,AZ,"Tempe, AZ",4,181005,13253,7.3,72022,0,45251
4714000,Chattanooga,TN,"Chattanooga, TN",4,181288,53428,29.5,57703,0,45322
4260000,Philadelphia,PA,"Philadelphia, PA",35,1593208,638907,40.1,57537,0,45520
2684000,Warren,MI,"Warren, MI",3,138588,27510,19.9,61633,0,46196
3916000,Cleveland,OH,"Cleveland, OH",8,370365,172571,46.6,37271,0,46296
4858016,Plano,TX,"Plano, TX",6,284948,25697,9,105679,0,47491
0816000,Colorado Springs,CO,"Colorado Springs, CO",10,479612,28869,6,79026,0,47961
1714000,Chicago,IL,"Chicago, IL",56,2721914,784078,28.8,71673,0,48606
2634000,Grand Rapids,MI,"Grand Rapids, MI",4,198096,35425,17.9,61634,0,49524
0427820,Glendale,AZ,"Glendale, AZ",5,248083,17071,6.9,66375,0,49617
3722920,Fayetteville,NC,"Fayetteville, NC",4,208697,88538,42.4,53424,0,52174
0624680,Fontana,CA,"Fontana, CA",4,209279,17343,8.3,93230,0,52320
3260600,Reno,NV,"Reno, NV",5,265196,9071,3.4,73073,0,53039
3918000,Columbus,OH,"Columbus, OH",17,902449,263000,29.1,62994,0,53085
0675000,Stockton,CA,"Stockton, CA",6,320030,37257,11.6,71612,0,53338
0455000,Phoenix,AZ,"Phoenix, AZ",30,1609456,118457,7.4,72092,0,53649
0627000,Fresno,CA,"Fresno, CA",10,541528,35576,6.6,63001,0,54153
3611000,Buffalo,NY,"Buffalo, NY",5,276688,91963,33.2,46184,0,55338
0669088,Santa Clarita,CA,"Santa Clarita, CA",4,225850,9432,4.2,116186,0,56462
1255775,Pembroke Pines,FL,"Pembroke Pines, FL",3,170472,36518,21.4,77657,0,56824
0640130,Lancaster,CA,"Lancaster, CA",3,171465,36296,21.2,71367,0,57155
0603526,Bakersfield,CA,"Bakersfield, CA",7,404321,25810,6.4,73827,0,57760
0653322,Oceanside,CA,"Oceanside, CA",3,173722,7517,4.3,86701,0,57907
4164900,Salem,OR,"Salem, OR",3,175754,2701,1.5,67540,0,58585
5103000,Arlington,VA,"Arlington, VA",4,235845,21994,9.3,137387,0,58961
1703012,Aurora,IL,"Aurora, IL",3,181405,19343,10.7,85943,0,60468
5374060,Vancouver,WA,"Vancouver, WA",3,190700,5184,2.7,73626,0,63567
4659020,Sioux Falls,SD,"Sioux Falls, SD",3,193401,13172,6.8,71785,0,64467
2582000,Worcester,MA,"Worcester, MA",3,204191,26139,12.8,63011,0,68064
0602000,Anaheim,CA,"Anaheim, CA",5,347111,9047,2.6,88538,0,69422
0649270,Moreno Valley,CA,"Moreno Valley, CA",3,209578,36872,17.6,82637,0,69859
3663000,Rochester,NY,"Rochester, NY",3,210992,79911,37.9,44156,0,70331
0644000,Los Angeles,CA,"Los Angeles, CA",55,3881041,332173,8.6,76244,0,70564
0636770,Irvine,CA,"Irvine, CA",4,304527,5978,2,122948,0,76132
4817000,Corpus Christi,TX,"Corpus Christi, TX",4,317804,12651,4,64449,0,79451
3231900,Henderson,NV,"Henderson, NV",4,318063,19205,6,85311,0,79516
4865000,San Antonio,TX,"San Antonio, TX",18,1445662,95064,6.6,59593,0,80315
2507000,Boston,MA,"Boston, MA",8,665945,150002,22.5,89212,0,83243
5548000,Madison,WI,"Madison, WI",3,268516,19619,7.3,74895,0,89505
3977000,Toledo,OH,"Toledo, OH",3,269962,75862,28.1,45405,0,89987
0613392,Chula Vista,CA,"Chula Vista, CA",3,276103,14315,5.2,101984,0,92034
5553000,Milwaukee,WI,"Milwaukee, WI",6,573299,221344,38.6,49733,0,95550
0820000,Denver,CO,"Denver, CO",7,710800,63002,8.9,85853,0,101543
2758000,St. Paul,MN,"St. Paul, MN",3,308806,48323,15.6,69919,0,102935
0668000,San Jose,CA,"San Jose, CA",9,1001176,29374,2.9,136010,0,111242
0667000,San Francisco,CA,"San Francisco, CA",7,851036,44058,5.2,136689,0,121577
4824000,El Paso,TX,"El Paso, TX",4,677181,24082,3.6,55710,0,169295
3502000,Albuquerque,NM,"Albuquerque, NM",3,562551,17796,3.2,61503,0,187517
3651000,New York,NY,"New York, NY",41,8622467,1992200,23.1,76607,0,210304
