black_pop_vs_state,sum_total_towns,sum_total_pop,sum_total_players,pct_players,players_per_hundred_thousand,players_per_capita
above,928,89146362,4296,53.4,4.8,20751
below or equal,1643,56936823,3752,46.6,6.6,15175
