hometown_city,hometown_state_clean,total
Byhalia,MS,1
Byron,IL,1
Byron Center,MI,2
Cache,OK,1
Cahokia,IL,1
Cairo,GA,1
Calabasas,CA,3
Caldwell,ID,1
Caldwell,NJ,1
Calera,AL,2
Calhoun,GA,2
Calmar,IA,1
Camarillo,CA,3
Camas,WA,2
Cambridge,MA,1
Cambridge,WI,1
Camden,AR,1
Camden,NJ,6
Camden,SC,4
Cameron,NC,1
Camilla,GA,2
Campbell,CA,1
Campbellton,FL,1
Canadian,TX,1
Canal Winchester,OH,1
Canby,OR,1
Canfield,OH,2
Canoga Park,CA,1
Canton,GA,2
Canton,MA,1
Canton,MI,2
Canton,MS,3
Canton,OH,1
Canton,PA,1
Canton,TX,1
Canyon Country,CA,1
Cape Coral,FL,1
Capitola,CA,1
Carencro,LA,1
Carlisle,IA,1
Carlsbad,CA,6
Carlsbad,NM,2
Carmel,CA,2
Carmel,IN,13
Carnegie,PA,1
Carpinteria,CA,1
Carrabelle,FL,1
Carroll,IA,3
Carrollton,GA,5
Carrollton,TX,2
Carrolton,GA,1
Carson,CA,8
Cartersville,GA,6
Carthage,TX,3
Carver Ranches,FL,2
Cary,NC,6
Casa Grande,AZ,1
Cascade,WI,1
Cashion,OK,1
Cashmere,WA,1
Cashton,WI,1
Castalia,OH,1
Catawissa,PA,2
Cedar City,UT,1
Cedar Hill,TX,8
Cedar Hills,UT,2
Cedar Park,TX,1
Cedar Rapids,IA,9
Cedarburg,WI,2
Cedartown,GA,3
Centennial,CO,3
Center Point,IA,1
Centeron,AR,1
Centerville,LA,1
Centerville,OH,1
Central,SC,4
Centre,AL,1
Centreville,AL,1
Centreville,VA,6
Ceredo,WV,1
Cerritos,CA,1
Chagrin Falls,OH,2
Chalfont,PA,1
Champaign,IL,2
Chandler,AZ,34
Channahon,IL,1
Chantilly,VA,2
Chanute,KS,1
Chapel Hill,NC,2
Chapin,SC,2
Chapman,KS,1
Chardon,OH,1
Charleston,MS,1
Charleston,SC,4
Charleston,WV,4
Charlotte,NC,58
Charlottesville,VA,1
Chaska,MN,1
Chatham,LA,1
Chatsworth,CA,3
Chatsworth,GA,1
Chattanooga,TN,4
Chatworth,GA,1
Cheektowaga,NY,1
Chehalis,WA,1
Chelsea,AL,1
Chelsea,MI,1
Cheraw,SC,1
Chesapeake,VA,7
Chesapeake Beach,MD,1
Chester,SC,1
Chester,VA,3
Chesterfield,MO,3
Chesterfield,VA,4
Chestnut Hill,MA,1
Chevy Chase,MD,2
Chicago,IL,56
Chicago Heights,IL,1
Chico,CA,1
Chino,CA,2
Choctaw,OK,4
Christiansburg,VA,1
Chubbuck,ID,1
Chula Vista,CA,3
Churubusco,IN,1
Cibolo,TX,1
Cincinnati,OH,50
Cinnaminson,NJ,1
Clackamas,OR,1
Clare,IA,1
Claremont,CA,2
Claremore,OK,1
Clarendon,AR,1
Clarendon,TX,1
Clarendon Hills,IL,1
Clarks Summit,PA,1
Clarksburg,MD,2
Clarksdale,MS,3
Clarkston,MI,6
Clarksville,MD,2
Clayton,DE,1
Clayton,IN,1
Clayton,MO,1
Clayton,NC,5
Clayton,OH,3
Clearwater,FL,1
Clemson,SC,7
Clermont,FL,2
Cleveland,OH,8
Cleveland,TN,2
Cleveland Heights,OH,1
Cleves,OH,1
Clewiston,FL,2
Clifton,VA,2
Clinton,LA,1
Clinton,NC,1
Clinton,SC,1
Clinton,TN,1
Clinton Township,MI,1
Closter,NJ,1
Clover,SC,2
Clovis,CA,5
Clovis,NM,1
Coatesville,PA,1
Cochran,GA,1
Cocoa,FL,7
Cocoa Beach,FL,1
