School,Name,Position,Class,Hometown,High School
2023 Football Roster - University of Illinois Athletics,CJ Bufkin,DB,Jr.,"Chicago, Ill.",Montini Catholic
2023 Football Roster - University of Illinois Athletics,Ezekiel Holmes,OLB,Sr.,"Wichita Falls, Texas",Hirschi
2023 Football Roster - University of Illinois Athletics,Ryan Meed,LB,Jr.,"Brooklyn, N.Y.",Canarsie
2023 Football Roster - University of Illinois Athletics,Grayson Griffin,DB,So.,"Aurora, Ill.",St. Francis
2023 Football Roster - University of Illinois Athletics,Lane Hansen,LS,So.,"East Lake, Fla.",East Lake
2023 Football Roster - University of Illinois Athletics,Ben Schultz,TE,Jr.,"Champaign, Ill.",Central
2023 Football Roster - University of Illinois Athletics,Solo Turner,DB,Sr.,"Frisco, Texas",Prestonwood Christian
2023 Football Roster - University of Illinois Athletics,Johnny Schmitt,DB,Fr.,"Chicago, Ill.",St. Rita
2023 Football Roster - University of Illinois Athletics,Aidan Hall,LS,Jr.,"Glen Ellyn, Ill.",Benet Academy
2023 Football Roster - University of Illinois Athletics,Kenenna Odeluga,LB,So.,"South Holland, Ill.",Mount Carmel
2023 Football Roster - University of Illinois Athletics,Ronan Poynton,LB,Fr.,"Solon, Iowa",Regina
2023 Football Roster - University of Illinois Athletics,James Kreutz,LB,R-Fr.,"Bannockburn, Ill.",Loyola Academy
2023 Football Roster - University of Illinois Athletics,Alex McLaughlin,LS,So.,"Weddington, N.C.",Weddington
2023 Football Roster - University of Illinois Athletics,Luke Zardzin,LB,So.,"Mount Prospect, Ill.",Prospect
2023 Football Roster - University of Illinois Athletics,Nick True,LB,Fr.,"Chicago, Ill.",Jacobs
2023 Football Roster - University of Illinois Athletics,Ben Clawson,DB,R-Fr.,"Arlington Heights, Ill.",Hersey
2023 Football Roster - University of Illinois Athletics,Malachi Hood,LB,R-Fr.,"Plainfield, Ill.",Joliet Catholic
2023 Football Roster - University of Illinois Athletics,Corey Rashad,DB,Fr.,"Chicago, Ill.",Marist
2023 Football Roster - University of Illinois Athletics,Mac Resetich,DB,Fr.,"Spring Valley, Ill.",Spring Valley Hall
